Date,Price,Open,High,Low,Vol.,Volume,Change %
2016-09-28,"28,236.23","28,248.86","28,252.97","28,161.95",159.05M,159050000,-0.04%
2016-09-27,"28,248.86","28,263.16","28,269.07","28,174.07",294.91M,294910000,-0.05%
2016-09-26,"28,263.16","28,247.07","28,290.24","28,238.96",249.77M,249770000,0.06%
2016-09-23,"28,247.11","28,166.42","28,303.44","28,140.14",265.07M,265070000,0.29%
2016-09-22,"28,166.42","28,214.57","28,292.01","28,137.67",410.06M,410060000,-0.17%
2016-09-21,"28,214.57","28,209.93","28,239.64","28,161.91",225.10M,225100000,0.02%
2016-09-20,"28,209.93","27,839.93","28,225.53","27,839.09",231.46M,231460000,1.33%
2016-09-19,"27,839.93","27,858.48","28,049.07","27,811.15",328.20M,328200000,-0.07%
2016-09-16,"27,858.48","27,725.40","27,858.56","27,661.62",228.93M,228930000,0.48%
2016-09-15,"27,725.40","27,642.13","27,748.04","27,633.38",200.29M,200290000,0.30%
2016-09-14,"27,642.13","27,577.52","27,642.13","27,541.48",182.30M,182300000,0.23%
2016-09-09,"27,577.52","27,574.09","27,611.31","27,557.65",272.85M,272850000,0.01%
2016-09-08,"27,574.09","27,522.62","27,574.77","27,445.40",242.74M,242740000,0.19%
2016-09-07,"27,522.62","27,503.75","27,528.97","27,365.77",295.66M,295660000,0.07%
2016-09-06,"27,503.81","27,707.12","27,707.12","27,503.81",176.77M,176770000,-0.73%
2016-09-05,"27,707.12","27,756.67","27,786.75","27,679.42",195.02M,195020000,-0.18%
2016-09-02,"27,756.67","28,419.92","28,488.00","27,744.76",309.45M,309450000,-2.33%
2016-09-01,"28,419.92","27,599.03","28,421.27","27,599.03",229.23M,229230000,2.97%
2016-08-31,"27,599.03","27,493.12","27,612.13","27,487.20",262.61M,262610000,0.39%
2016-08-30,"27,493.12","27,368.41","27,517.13","27,364.18",230.13M,230130000,0.46%
2016-08-29,"27,368.41","27,450.91","27,452.83","27,312.47",,#VALUE!,-0.30%
2016-08-26,"27,450.91","27,379.95","27,573.19","27,271.24",,#VALUE!,0.26%
2016-08-25,"27,379.95","27,880.46","27,883.68","27,365.22",,#VALUE!,-1.80%
2016-08-24,"27,880.46","27,810.28","27,881.03","27,753.84",,#VALUE!,0.25%
2016-08-23,"27,810.28","27,812.06","27,921.99","27,728.90",,#VALUE!,-0.02%
2016-08-22,"27,817.00","27,650.32","27,842.91","27,650.32",,#VALUE!,0.60%
2016-08-19,"27,650.32","27,420.99","27,681.31","27,420.99",,#VALUE!,0.84%
2016-08-18,"27,420.99","27,437.25","27,565.48","27,365.25",,#VALUE!,-0.06%
2016-08-17,"27,437.25","27,389.02","27,536.23","27,355.19",,#VALUE!,0.18%
2016-08-16,"27,389.02","27,316.52","27,438.07","27,294.28",,#VALUE!,0.27%
2016-08-15,"27,316.52","27,246.88","27,341.27","27,179.66",,#VALUE!,0.26%
2016-08-12,"27,246.98","27,280.95","27,291.06","27,180.04",,#VALUE!,-0.12%
2016-08-11,"27,280.95","27,421.83","27,461.59","27,241.08",,#VALUE!,-0.51%
2016-08-10,"27,421.83","27,272.14","27,421.83","27,220.76",,#VALUE!,0.55%
2016-08-09,"27,272.14","27,394.98","27,476.31","27,248.35",,#VALUE!,-0.45%
2016-08-08,"27,394.98","27,425.86","27,458.99","27,313.96",,#VALUE!,-0.11%
2016-08-05,"27,425.86","27,751.34","27,766.99","27,425.86",,#VALUE!,-1.17%
